Author,URL,Source,Detected,Status
1000 Libraries,https://www.facebook.com/1000libraries,reel,2026-01-08T06:18:54.550Z,blocked
100X Equine,https://www.facebook.com/100xequine,reel,2026-01-08T06:18:54.550Z,blocked
10Alytics,https://www.facebook.com/10alytics,reel,2026-01-08T06:18:54.550Z,blocked
1620 Workwear,https://www.facebook.com/1620workwear,reel,2026-01-08T06:18:54.550Z,blocked
16bitgifts.com,https://www.facebook.com/profile.php?id=61584959593662,reel,2026-01-08T06:18:54.550Z,blocked
1-800 Contacts,https://www.facebook.com/1800Contacts,reel,2026-01-08T06:18:54.550Z,blocked
1stDibs,https://www.facebook.com/1stDibs,reel,2026-01-08T06:18:54.550Z,blocked
20playtesters,https://www.facebook.com/122096295914372708,reel,2026-01-08T06:18:54.550Z,blocked
21st Century Health Care Consultants,https://www.facebook.com/21stCenturyHHC,reel,2026-01-08T06:18:54.550Z,blocked
25Home Furniture,https://www.facebook.com/25homeofficial,reel,2026-01-08T06:18:54.550Z,blocked
26 North Yachts,https://www.facebook.com/26NorthYachts,reel,2026-01-08T06:18:54.550Z,blocked
28 Years Later: The Bone Temple,https://www.facebook.com/28yearslaterofficial,reel,2026-01-08T06:18:54.550Z,blocked
2D Sports,https://www.facebook.com/2DsportsBSB,reel,2026-01-08T06:18:54.550Z,blocked
2POOD Performance,https://www.facebook.com/2poodperformance,reel,2026-01-08T06:18:54.550Z,blocked
3 Bridges Brewing,https://www.facebook.com/510286074440485,reel,2026-01-08T06:18:54.550Z,blocked
3 Financial Group,https://www.facebook.com/3FinancialGroup,reel,2026-01-08T06:18:54.550Z,blocked
3 FIT USA,https://www.facebook.com/3FITUSA,reel,2026-01-08T06:18:54.550Z,blocked
33mm,https://www.facebook.com/33mmofficial,reel,2026-01-08T06:18:54.550Z,blocked
3BG Supply Co.,https://www.facebook.com/3bgsupply,reel,2026-01-08T06:18:54.550Z,blocked
3W Auto Accessory,https://www.facebook.com/3WLINERSOFFICIAL,reel,2026-01-08T06:18:54.550Z,blocked
40 Plus,https://www.facebook.com/40plusboys,reel,2026-01-08T06:18:54.550Z,blocked
4LifetimeLines,https://www.facebook.com/4lifetimelines,reel,2026-01-08T06:18:54.550Z,blocked
4N Ranch,https://www.facebook.com/4nranchandtack,reel,2026-01-08T06:18:54.550Z,blocked
57hours,https://www.facebook.com/57hours,reel,2026-01-08T06:18:54.550Z,blocked
6 Laps,https://www.facebook.com/profile.php?id=61575636033461,reel,2026-01-08T06:18:54.550Z,blocked
69Golf,https://www.facebook.com/69golf.shop,reel,2026-01-08T06:18:54.550Z,blocked
7 Brew Coffee,https://www.facebook.com/7brewcoffee,reel,2026-01-08T06:18:54.550Z,blocked
7 Figure MSP,https://www.facebook.com/7figuremsp,reel,2026-01-08T06:18:54.550Z,blocked
76untd,https://www.facebook.com/76untdapparel,reel,2026-01-08T06:18:54.550Z,blocked
770 Fine Jewelry,https://www.facebook.com/770jewelry,reel,2026-01-08T06:18:54.550Z,blocked
776BC,https://www.facebook.com/776BCOfficial,reel,2026-01-08T06:18:54.550Z,blocked
79Bike Electric,https://www.facebook.com/79bike.official,reel,2026-01-08T06:18:54.550Z,blocked
7mesh,https://www.facebook.com/7meshinc,reel,2026-01-08T06:18:54.550Z,blocked
7th Avenue,https://www.facebook.com/7thavenuehome,reel,2026-01-08T06:18:54.550Z,blocked
7th Earth Studios,https://www.facebook.com/7thEarthStudios,reel,2026-01-08T06:18:54.550Z,blocked
7th Generation Air Conditioning and Heating,https://www.facebook.com/738037281046290,reel,2026-01-08T06:18:54.550Z,blocked
80s Gal,https://www.facebook.com/80sfun,reel,2026-01-08T06:18:54.550Z,blocked
8fig,https://www.facebook.com/8fig.co,reel,2026-01-08T06:18:54.550Z,blocked
93.9 WKYS,https://www.facebook.com/939wkys,reel,2026-01-08T06:18:54.550Z,blocked
9Barista,https://www.facebook.com/9barista,reel,2026-01-08T06:18:54.550Z,blocked
"A Major Difference, Inc.",https://www.facebook.com/amajordifference,reel,2026-01-08T06:18:54.550Z,blocked
A Real Woman,https://www.facebook.com/866543395502477,reel,2026-01-08T06:18:54.550Z,blocked
A Reason For,https://www.facebook.com/AReasonFor,reel,2026-01-08T06:18:54.550Z,blocked
A Slice of Style,https://www.facebook.com/asliceofstyle,reel,2026-01-08T06:18:54.550Z,blocked
A U M,https://www.facebook.com/495851272552222,reel,2026-01-08T06:18:54.550Z,blocked
A&K Sanctuary,https://www.facebook.com/aksanctuary,reel,2026-01-08T06:18:54.550Z,blocked
A&R Dumpsters & Hauling LLC,https://www.facebook.com/122139239294057315,reel,2026-01-08T06:18:54.550Z,blocked
écoute audio,https://www.facebook.com/ecouteaudio,reel,2026-01-08T06:18:54.550Z,blocked
Ö-61 Wine,https://www.facebook.com/o61wines,reel,2026-01-08T06:18:54.550Z,blocked
AAA Storage Williston & AAA Storage West Williston,https://www.facebook.com/AAAStorageWilliston,reel,2026-01-08T06:18:54.550Z,blocked
AAA The Auto Club Group,https://www.facebook.com/193249753679488,reel,2026-01-08T06:18:54.550Z,blocked
Aab,https://www.facebook.com/aabcollection,reel,2026-01-08T06:18:54.550Z,blocked
Aallyn,https://www.facebook.com/shop.aallyn,reel,2026-01-08T06:18:54.550Z,blocked
Aaron Lee Photo + Film,https://www.facebook.com/AaronLeePhotoFilm,reel,2026-01-08T06:18:54.550Z,blocked
AB CLOSETS FLORIDA,https://www.facebook.com/600430586450886,reel,2026-01-08T06:18:54.550Z,blocked
ABB Formula E,https://www.facebook.com/fiaformulae,reel,2026-01-08T06:18:54.550Z,blocked
AbbottOaks,https://www.facebook.com/profile.php?id=100065174375824,reel,2026-01-08T06:18:54.550Z,blocked
ABC Fine Wine & Spirits,https://www.facebook.com/ABCFineWineSpirits,reel,2026-01-08T06:18:54.550Z,blocked
ABC Supply Co. Inc.,https://www.facebook.com/ABCSupplyCo,reel,2026-01-08T06:18:54.550Z,blocked
Abdulrahman K Abdullh,https://www.facebook.com/31856531917293714,reel,2026-01-08T06:18:54.550Z,blocked
Abe Student Loans,https://www.facebook.com/profile.php?id=61559721178214,reel,2026-01-08T06:18:54.550Z,blocked
Abelara,https://www.facebook.com/profile.php?id=61580272437274,reel,2026-01-08T06:18:54.550Z,blocked
Aberlite,https://www.facebook.com/aberlite,reel,2026-01-08T06:18:54.550Z,blocked
Abichornados da Noite. #GAN,https://www.facebook.com/profile.php?id=100072267305038,reel,2026-01-08T06:18:54.550Z,blocked
"Absolute Aluminum, Inc.",https://www.facebook.com/1227920802694784,reel,2026-01-08T06:18:54.550Z,blocked
Abstract Printing Solutions,https://www.facebook.com/abstractprintingsolutions,reel,2026-01-08T06:18:54.550Z,blocked
Absurd Ventures,https://www.facebook.com/AbsurdVentures,reel,2026-01-08T06:18:54.550Z,blocked
Abundant Moon Succulents,https://www.facebook.com/profile.php?id=61584692571072,reel,2026-01-08T06:18:54.550Z,blocked
AC Warehouse,https://www.facebook.com/ACWarehouse,reel,2026-01-08T06:18:54.550Z,blocked
Academy for Dental Assistants,https://www.facebook.com/academy4da,reel,2026-01-08T06:18:54.550Z,blocked
Academy of 'Q,https://www.facebook.com/AcademyofQ,reel,2026-01-08T06:18:54.550Z,blocked
Academy Sports + Outdoors,https://www.facebook.com/1241610891347242,reel,2026-01-08T06:18:54.550Z,blocked
Acceleration Enterprises,https://www.facebook.com/AccelerationEnterprisesUSA,reel,2026-01-08T06:18:54.550Z,blocked
Accordancen.shop,https://www.facebook.com/profile.php?id=100090220913329,reel,2026-01-08T06:18:54.550Z,blocked
Accrulyn Financial Services,https://www.facebook.com/profile.php?id=61579753000227,reel,2026-01-08T06:18:54.550Z,blocked
Accuracy Solutions,https://www.facebook.com/AccuracySolutions,reel,2026-01-08T06:18:54.550Z,blocked
Accustomedt,https://www.facebook.com/profile.php?id=100092558231148,reel,2026-01-08T06:18:54.550Z,blocked
"Ace Screen Repair & More, LLC.",https://www.facebook.com/1164727822327943,reel,2026-01-08T06:18:54.550Z,blocked
AceableAgent,https://www.facebook.com/AceableAgent,reel,2026-01-08T06:18:54.550Z,blocked
AceMagic Mini PC,https://www.facebook.com/Acemagic.miniPC,reel,2026-01-08T06:18:54.550Z,blocked
Acovra,https://www.facebook.com/Acovra,reel,2026-01-08T06:18:54.550Z,blocked
Acquisitionk,https://www.facebook.com/profile.php?id=100089795055457,reel,2026-01-08T06:18:54.550Z,blocked
Acrisure,https://www.facebook.com/Acrisure,reel,2026-01-08T06:18:54.550Z,blocked
ACT Insurance,https://www.facebook.com/ActInsPro,reel,2026-01-08T06:18:54.550Z,blocked
Actistyle,https://www.facebook.com/profile.php?id=61582319447049,reel,2026-01-08T06:18:54.550Z,blocked
ActiveHerb,https://www.facebook.com/ActiveHerbInc,reel,2026-01-08T06:18:54.550Z,blocked
Actively BLACK,https://www.facebook.com/activelyblack,reel,2026-01-08T06:18:54.550Z,blocked
Activia,https://www.facebook.com/691827712979349,reel,2026-01-08T06:18:54.550Z,blocked
Ad Image Studios,https://www.facebook.com/profile.php?id=61559791956201,reel,2026-01-08T06:18:54.550Z,blocked
Ad Labz,https://www.facebook.com/profile.php?id=61567708064070,reel,2026-01-08T06:18:54.550Z,blocked
Ada Clements,https://www.facebook.com/profile.php?id=100091347095043,reel,2026-01-08T06:18:54.550Z,blocked
Adam Hutchinson Photographer,https://www.facebook.com/1477334853474927,reel,2026-01-08T06:18:54.550Z,blocked
Adam Pecoraro,https://www.facebook.com/thefitadamcoaching,reel,2026-01-08T06:18:54.550Z,blocked
Adel's,https://www.facebook.com/adelschicken,reel,2026-01-08T06:18:54.550Z,blocked
ADHD Meme Therapy,https://www.facebook.com/816369577185656,reel,2026-01-08T06:18:54.550Z,blocked
ADM Flooring,https://www.facebook.com/admflooring,reel,2026-01-08T06:18:54.550Z,blocked
Adobe,https://www.facebook.com/1782355582431787,reel,2026-01-08T06:18:54.550Z,blocked
Adobe Acrobat,https://www.facebook.com/1159362729560878,reel,2026-01-08T06:18:54.550Z,blocked
Adobe Creative Cloud,https://www.facebook.com/786396466427267,reel,2026-01-08T06:18:54.550Z,blocked
Adobe Lightroom,https://www.facebook.com/1363691641780694,reel,2026-01-08T06:18:54.550Z,blocked
Adobe Photoshop,https://www.facebook.com/1272258391616103,reel,2026-01-08T06:18:54.550Z,blocked
Adobe Video,https://www.facebook.com/1252217743600403,reel,2026-01-08T06:18:54.550Z,blocked
Adoro,https://www.facebook.com/adoropetinsurance,reel,2026-01-08T06:18:54.550Z,blocked
Adrián L,https://www.facebook.com/profile.php?id=100094424916547,reel,2026-01-08T06:18:54.550Z,blocked
Adrienne LaFar Real Estate,https://www.facebook.com/profile.php?id=61583621062168,reel,2026-01-08T06:18:54.550Z,blocked
Advance Auto Parts,https://www.facebook.com/advanceautoparts,reel,2026-01-08T06:18:54.550Z,blocked
Ad-VANCE Talent Solutions,https://www.facebook.com/10165160660080198,reel,2026-01-08T06:18:54.550Z,blocked
Advanced Eyecare,https://www.facebook.com/AdvancedEyecareNewYork,reel,2026-01-08T06:18:54.550Z,blocked
Advanced SimRacing,https://www.facebook.com/advancedsimracing,reel,2026-01-08T06:18:54.550Z,blocked
Adventure Photos,https://www.facebook.com/adventurephotos,reel,2026-01-08T06:18:54.550Z,blocked
AdvoCare,https://www.facebook.com/773598601480163,reel,2026-01-08T06:18:54.550Z,blocked
梅见青梅酒MEIJIAN,https://www.facebook.com/Meijian.official,reel,2026-01-08T06:18:54.550Z,blocked
Aegis Construction CGC1524141,https://www.facebook.com/755548646590209,reel,2026-01-08T06:18:54.550Z,blocked
Aegis Travel Insurance,https://www.facebook.com/aegistravelinsurance,reel,2026-01-08T06:18:54.550Z,blocked
Aelln,https://www.facebook.com/profile.php?id=61558232218419,reel,2026-01-08T06:18:54.550Z,blocked
AEON USA,https://www.facebook.com/profile.php?id=61582723543283,reel,2026-01-08T06:18:54.550Z,blocked
Aerial Yoga Life,https://www.facebook.com/aerialyogalife,reel,2026-01-08T06:18:54.550Z,blocked
AeroGarden,https://www.facebook.com/officialaerogarden,reel,2026-01-08T06:18:54.550Z,blocked
僑務委員會 OCAC,https://www.facebook.com/iocac,reel,2026-01-08T06:18:54.550Z,blocked
afcultures.decor,https://www.facebook.com/afcultures.decor,reel,2026-01-08T06:18:54.550Z,blocked
AG1 by Athletic Greens,https://www.facebook.com/691567703008433,reel,2026-01-08T06:18:54.550Z,blocked
Agalima,https://www.facebook.com/agalimaorganic,reel,2026-01-08T06:18:54.550Z,blocked
Agape Diamonds,https://www.facebook.com/agapediamonds,reel,2026-01-08T06:18:54.550Z,blocked
Age of Disclosure,https://www.facebook.com/profile.php?id=61557947145161,reel,2026-01-08T06:18:54.550Z,blocked
Ageless Humans,https://www.facebook.com/AgelessHumans,reel,2026-01-08T06:18:54.550Z,blocked
Agelocer,https://www.facebook.com/profile.php?id=61556888175859,reel,2026-01-08T06:18:54.550Z,blocked
Agema Apparel,https://www.facebook.com/AgemaApparel,reel,2026-01-08T06:18:54.550Z,blocked
Agent CRM: AI-Powered Sales+Marketing Software,https://www.facebook.com/AgentCRMApp,reel,2026-01-08T06:18:54.550Z,blocked
Agent Frog's Mobile Detailing,https://www.facebook.com/874330718504900,reel,2026-01-08T06:18:54.550Z,blocked
AgentFire.com,https://www.facebook.com/AgentFireSites,reel,2026-01-08T06:18:54.550Z,blocked
AgentSocial.app,https://www.facebook.com/agentsocial.official,reel,2026-01-08T06:18:54.550Z,blocked
Aguila Entertainment,https://www.facebook.com/profile.php?id=100067382686836,reel,2026-01-08T06:18:54.550Z,blocked
Ahaselected_Men,https://www.facebook.com/profile.php?id=100085909464317,reel,2026-01-08T06:18:54.550Z,blocked
Öhlins Racing - Motorcycle,https://www.facebook.com/OhlinsMotorcycle,reel,2026-01-08T06:18:54.550Z,blocked
AI Apply,https://www.facebook.com/profile.php?id=61553278253785,reel,2026-01-08T06:18:54.550Z,blocked
AI DOLLS,https://www.facebook.com/profile.php?id=61550566987532,reel,2026-01-08T06:18:54.550Z,blocked
AI Fantasy,https://www.facebook.com/AI.Fantasy01,reel,2026-01-08T06:18:54.550Z,blocked
